geneA	geneB	weight
COX5A	COX7B2	0.853
CDKN1A	CDC20	0.853
GRPEL1	HSPA1B	0.853
FN1	ITGAM	0.853
KIF14	HMMR	0.853
SLC7A5	SLC7A8	0.853
CCNE1	CKS2	0.852
CCL3L1	CXCL8	0.852
CFAP52	CCDC173	0.852
CNNM4	CBSL	0.852
FOXA1	HNF1A	0.852
DYNLL1	FAM83D	0.852
RACK1	HSPA8	0.852
TOMM40	VDAC3	0.852
BUB1B	CDCA5	0.851
CCR9	CXCL8	0.851
H1-5	H4C6	0.851
ITGAM	FCGR1A	0.851
PLAT	PLAUR	0.851
RAC3	NCF1	0.851
MKI67	NEK2	0.851
WDR43	WDR74	0.851
CDK1	DEPDC1	0.849
FLT1	KCNH2	0.849
PPIB	PDIA6	0.849
BLVRB	CYC1	0.848
CKAP2L	CDCA5	0.848
CCL25	CXCL10	0.848
CFAP52	C9orf135	0.848
COL6A1	COL18A1	0.848
CD53	CD48	0.848
HSP90AA1	DKC1	0.848
CDC25B	CCNB2	0.847
CCNB1	CCNA1	0.847
CCNF	CCNB1	0.847
ANLN	DEPDC1	0.847
HBG1	HBQ1	0.847
HK2	LDHA	0.847
NUSAP1	MAD2L1	0.847
ANLN	AURKB	0.846
CENPU	CCNB2	0.846
CDKN3	BUB1	0.846
HSPD1	HSPA1B	0.846
NTS	NMU	0.846
PSMG1	PSMB2	0.846
PTTG1	PRC1	0.846
TWISTNB	RSL1D1	0.846
CCNA1	CKS2	0.845
CENPA	CDC25C	0.845
HSPE1	HSPA1B	0.845
HJURP	ESPL1	0.845
KRT8	EPCAM	0.845
HJURP	KIFC1	0.845
MCM5	MAD2L1	0.845
PSMD7	PSME2	0.845
MS4A3	RNASE3	0.845
NPM1	RAN	0.845
REXO2	REXO4	0.845
DDX18	DDX21	0.844
CCL3L1	CCR9	0.844
CENPF	DEPDC1	0.844
CDKN1A	CDC45	0.844
CCL3L1	CXCR4	0.844
HHEX	KIF11	0.844
MAD1L1	PLK1	0.844
MYC	PLK1	0.844
PRG2	RNASE3	0.844
SOD2	SUCLG1	0.844
APOE	CD68	0.843
CDC25C	AURKB	0.843
TWISTNB	WDR43	0.843
ANLN	CENPF	0.842
CDT1	CDCA5	0.842
CEBPB	CXCL8	0.842
CD59	CAV1	0.842
CSF2RA	CSF3R	0.842
CDK1	CKAP2	0.842
KIF23	HJURP	0.842
HSP90AB1	FLNA	0.842
PSMG1	PSMB3	0.842
C3	CD59	0.841
ATP5MC3	CYC1	0.841
ACTG1	ARID1A	0.841
FCER1G	ITGB2	0.841
H2AZ1	H2AC8	0.841
HSPA8	EEF2	0.841
IL6	FLT3LG	0.841
PHB	NDUFS3	0.841
NUDC	MAD1L1	0.841
SNRPD3	SSB	0.841
CD74	ATP5F1C	0.839
CD69	CD86	0.839
HSP90B1	HSPE1	0.839
TOMM40	TIMM8A	0.839
SOD2	SOD3	0.839
ATP5ME	ATP5IF1	0.838
NIP7	PNO1	0.838
PGK1	PKLR	0.838
CDKN1B	CKS2	0.837
CKAP2L	ANLN	0.837
CCL19	CCL18	0.837
FOXA1	H3C12	0.837
MND1	MAD2L1	0.837
NCAPG	MAD2L1	0.837
MSN	PDPN	0.837
TPX2	SPC25	0.837
CENPU	CDC20	0.836
CDCA2	ASPM	0.836
CCDC173	C9orf135	0.836
EMG1	EXOSC7	0.836
MRTO4	LYAR	0.836
ACAN	COL1A1	0.835
DBF4	CLSPN	0.835
FOS	H4C6	0.835
HSP90B1	DNAJB1	0.835
GART	DTYMK	0.835
H2BC11	H1-10	0.835
MCM5	RNASEH2A	0.835
PARK7	NCF1	0.835
CDT1	CDCA8	0.834
ATP5ME	ATP6V0B	0.834
HSPE1	DNAJB1	0.834
GYPA	HEMGN	0.834
HSP90AA1	LCK	0.834
PLK4	PRC1	0.834
CFAP20	CFAP52	0.833
FOXA1	HNF4A	0.833
FADS1	EBP	0.833
FFAR4	GPR84	0.833
NCAPG	MCM10	0.833
PTTG1	NDC80	0.833
MRTO4	MRPL16	0.833
CDT1	CCNE1	0.832
CDCA2	CDK1	0.832
IL6	IL2RG	0.832
LMO2	MYB	0.832
SET	SGO2	0.832
RPS24	RRP12	0.832
AURKA	CDC25C	0.831
CENPE	CKAP2	0.831
DEPDC1	BUB1	0.831
CCL19	CCL3	0.831
H1-2	H4C6	0.831
FGF2	ENG	0.831
GLIPR1	GART	0.831
HSPA8	HSPA6	0.831
HSPA6	HSPA5	0.831
GSN	FLNA	0.831
GLIPR2	GART	0.831
MKI67	PLK1	0.831
OPTN	PLK1	0.831
TAP1	STAT1	0.831
UBC	UBE2T	0.831
CKAP2L	CENPA	0.829
FGF2	HBEGF	0.829
KIF20A	PIMREG	0.829
MND1	NUF2	0.829
MT2A	MT1E	0.829
PRC1	NUF2	0.829
MDH2	PKM	0.829
CENPE	DEPDC1	0.828
ANXA1	CXCL8	0.828
HBA2	HBQ1	0.828
H1-3	H1-2	0.828
H1-2	H2AC8	0.828
KIF4A	FAM83D	0.828
LTB	RELB	0.828
NDC80	PRC1	0.828
CKAP2L	CENPE	0.827
CCNB1	CDKN1C	0.826
ATP6V0B	ATP5MF	0.826
LGALS1	LGALS3BP	0.826
H2AC20	H1-3	0.826
KIF20A	PCLAF	0.826
H1-2	H1-4	0.826
MCM10	RFC3	0.826
TOMM40	TOMM20L	0.826
WDR43	RPF1	0.826
CCNH	CCNE1	0.825
RRM2	BUB1	0.825
SMAD6	RUNX2	0.825
SGK1	SCNN1A	0.825
UBB	SNCA	0.825
CENPA	CDKN3	0.824
CR1	CD59	0.824
IL15	IL3RA	0.824
HSPA1A	HSPA6	0.824
HCLS1	ITGB2	0.824
PSMC4	PSME2	0.824
NCAPG	MND1	0.824
NDUFAF4	NDUFA9	0.824
CFAP20	C9orf135	0.823
CDCA8	ATP5MC3	0.823
APP	CD44	0.823
BRIX1	DDX10	0.823
CCNH	CDKN1A	0.823
EIF6	EIF1	0.823
PBK	MND1	0.823
NCAPG	NEK2	0.823
NIP7	NOP16	0.823
CDT1	CCNB2	0.822
COX5A	ATP5MF	0.822
CDCA2	CDC20	0.822
CDKN3	CEP55	0.822
RRM2	CENPF	0.822
H2BC21	H1-3	0.822
JUN	KLF6	0.822
NPHP1	MPP5	0.822
PLK4	NUSAP1	0.822
RACGAP1	PTTG1	0.822
BIRC5	DEPDC1	0.821
CDCA8	CDC25C	0.821
GAD1	GCSH	0.821
POLR2E	NIFK	0.821
RRP12	RPS5	0.821
CBSL	CA2	0.819
COX5A	APOBEC3A	0.819
GBP2	IRF1	0.819
HSP90AB1	KCNH2	0.819
KIF18A	KIF20B	0.819
GYPA	IL3RA	0.819
EMG1	EXOSC8	0.819
NCF2	RAC3	0.819
THBS1	SERPINE1	0.819
WDR43	RRP1B	0.819
RPL22L1	SERBP1	0.819
AIF1	CD86	0.818
RRM2	CENPA	0.818
CD44	CCL5	0.818
KIF18B	DLGAP5	0.818
H2BC21	H1-4	0.818
GSTO1	GPX3	0.818
NGFR	PDGFB	0.818
PSMG1	PSMA3	0.818
NIP7	PDCD11	0.818
NDUFA9	MGLL	0.818
POMP	PSMC3	0.818
TSFM	SUCLG1	0.818
CDC45	BUB1B	0.817
CDCA2	DEPDC1	0.817
APOC1	APOF	0.817
FOXA1	JUN	0.817
HBD	HP	0.817
MDH2	NDUFA9	0.817
PRX	MPZL1	0.817
SYN2	STXBP5	0.817
CDK1	ANLN	0.816
FOS	HNF1A	0.816
PAK1IP1	PPAN	0.816
PLA2G2D	PLAAT3	0.816
TSC22D3	TSC22D1	0.816
TNFRSF9	TNF	0.816
AURKA	CDCA3	0.815
CCL2	CD68	0.815
CCL2	CD44	0.815
CLTA	CD86	0.815
CD24	ALDH1A1	0.815
GAPDH	H3C12	0.815
HSPA1A	DNAJB11	0.815
PPAN	NIFK	0.815
CCL2	ATF4	0.814
HSPA1A	HSPE1	0.814
H2AC20	H1-2	0.814
FCGR2A	ITGB2	0.813
TGFBR2	TNF	0.813
CENPU	BUB1B	0.812
FN1	IGFBP5	0.812
HSP90AB1	GFAP	0.812
KIFC1	ESPL1	0.812
KIF4A	KIF18A	0.812
HCLS1	LAPTM5	0.812
CD53	CD37	0.811
ARHGAP11A	CENPF	0.811
CCL18	CCR3	0.811
HNRNPH1	EIF4A3	0.811
NUSAP1	PLK1	0.811
NCF2	MNDA	0.811
SLC6A2	SCRT1	0.811
CDC25C	BUB1B	0.809
CD44	CD86	0.809
ARHGAP11A	ASPM	0.809
CSF2RA	CRLF2	0.809
GNB5	GNG8	0.809
H2AC20	H1-4	0.809
HSPA1A	HSPA5	0.809
FN1	GSN	0.809
FN1	FLNA	0.809
PNO1	NOL7	0.809
PDGFB	NRP1	0.809
RFC4	NUF2	0.809
SLC6A2	SNCA	0.809
THBS1	TFPI	0.809
CENPE	CDKN3	0.808
CDC25C	DEPDC1	0.808
CDKN1A	BBC3	0.808
PEBP1	MRPL16	0.808
PSME1	PSMC3	0.808
S100A1	S100A7	0.808
TFAM	VDAC1	0.808
WDR43	WDR18	0.808
CALM2	CKM	0.807
ALB	ABCG2	0.807
CALM2	CKB	0.807
CISH	ANK2	0.807
HSPA8	HSPE1	0.807
EIF6	EIF3I	0.807
S100A1	S100A4	0.807
RRP12	RRP1B	0.807
CLDN6	CLDN14	0.806
FKBP4	HSPA1B	0.806
FRG1	EIF4A3	0.806
GAPDH	HSPA5	0.806
DNAJC2	HSPA1A	0.806
NIP7	PWP1	0.806
TOP2A	TK1	0.806
CCT7	CCNE1	0.805
CKS2	BUB1	0.805
ACE2	CTSL	0.805
CXCR4	CCL4L2	0.805
HEY2	HES1	0.805
KLF1	HBA1	0.805
FOS	H3C12	0.805
IFITM2	IFITM3	0.805
MYC	PKM	0.805
SOD2	TFAM	0.805
AURKA	CKS2	0.804
GFAP	HSPA8	0.804
HSP90AB1	ENO1	0.804
PTTG1	NCAPG	0.804
CCNB1	ACTB	0.803
COL9A2	CILP	0.803
IL15	IL23R	0.803
DNAJC2	HSPA1B	0.803
C3	COLEC11	0.802
APOC1	APP	0.802
FOXA1	FOS	0.802
FOXA1	FOXA3	0.802
KIT	GRAP2	0.802
PRC1	MAD2L1	0.802
AK6	CD74	0.801
APOE	CAV1	0.801
APP	ACTB	0.801
CYC1	APOBEC3A	0.801
CXCR4	CD86	0.801
HBG2	HBE1	0.801
HSP90B1	HSPD1	0.801
UBE2S	SKP1	0.801
CDKN1A	CYCS	0.799
IL6R	IL23R	0.799
MRPS15	PEBP1	0.799
RPF2	RPL3L	0.799
UBE2T	TPX2	0.799
TPM4	TNNT3	0.799
CDT1	CCNB1	0.798
COL2A1	COLGALT2	0.798
CXCR4	CCL18	0.798
HSP90B1	HSPA1B	0.798
HSP90AA1	JUN	0.798
MRPL36	PEBP1	0.798
NOP16	NIFK	0.798
MCM10	MAD2L1	0.798
PRDX6	PRDX2	0.798
MT1X	MT1E	0.798
SERBP1	SERPINE1	0.798
SYN2	SYP	0.798
CKAP2L	CDK1	0.797
CXCL8	ATF4	0.797
CCL3	CCR4	0.797
IER2	FOSB	0.797
ITGAM	KIT	0.797
IGF1	FGFR3	0.797
MT1F	MT1E	0.797
SSB	SNRPF	0.797
TNFRSF4	TNF	0.797
CD82	CD37	0.796
COTL1	ALOX5AP	0.796
ARHGAP11A	BUB1B	0.796
CCL25	CXCL8	0.796
GRPEL1	HSPA5	0.796
FOS	IER2	0.796
EPSTI1	ISG15	0.796
IFITM1	IFITM2	0.796
KRT8	KRT19	0.796
MKI67	NDC80	0.796
PIM1	MYC	0.796
RPL3L	RSL1D1	0.796
ACP5	CALCR	0.795
CDCA2	CENPF	0.795
KLF1	HBA2	0.795
ITGAM	ENG	0.795
MT1G	MT1E	0.795
PCLAF	DTL	0.794
RRP15	RSL1D1	0.794
SNW1	SNU13	0.794
UBE2L3	UBC	0.794
CENPE	CDCA5	0.793
CDCA2	CCNB2	0.793
HNRNPDL	HNRNPD	0.793
HSP90AA1	H3C12	0.793
REXO4	PPAN	0.793
NRP1	NTRK1	0.793
PLK4	RACGAP1	0.793
TNFRSF12A	TNF	0.793
DNAJC2	DNAJB1	0.792
HERPUD1	HSPA5	0.792
H2BC9	H1-2	0.792
GAPDH	HSPD1	0.792
HMGB1	IL6	0.792
PCNA	MAD2L1	0.792
POMP	PSMD14	0.792
TPX2	TK1	0.792
CCNF	AURKA	0.791
FN1	ENO1	0.791
PBK	NCAPH	0.791
PA2G4	NCL	0.791
NEK2	PRC1	0.791
TFF1	TFF3	0.791
TNFRSF12A	TRAF1	0.791
CYTIP	CD48	0.789
CDCA8	ANLN	0.789
KRT18	EPCAM	0.789
ECT2	HMMR	0.789
RACK1	ISG15	0.789
PSMG1	PSMA4	0.789
RGS18	PLEK	0.789
GYPB	HBE1	0.788
HEPH	HAMP	0.788
RABGGTB	RAB7B	0.788
NNMT	CAVIN1	0.788
MRPL21	PDCD5	0.788
CCL2	CCL4	0.787
BIRC5	CDC25C	0.787
CCR9	CCR3	0.787
BUB3	CCNA2	0.787
DLGAP5	EXO1	0.787
KIF14	KIFC1	0.787
RFC4	NDC80	0.787
MYB	MYC	0.787
CDC25B	CDC20	0.786
CCNF	AURKB	0.786
H2AW	H4C6	0.786
DUSP5	FOS	0.786
TACC3	TPX2	0.786
RRM2	ANLN	0.785
CYC1	COX7B2	0.785
RRM2	AK2	0.785
HP	HBE1	0.785
FH	H2AZ1	0.785
FTL	HAMP	0.785
ALDOA	ACTB	0.784
FBXO5	KIF11	0.784
ISG20	GBP1	0.784
GAPDH	HMBS	0.784
PRX	PMP22	0.784
PAX5	MYC	0.784
TROAP	TOP2A	0.784
TIMM8A	TIMM50	0.784
C3	CXCL8	0.783
ID1	ETS1	0.783
FDFT1	EBP	0.783
LCK	FLT3LG	0.783
MT2A	MT1G	0.783
PEBP1	MRPL22	0.783
RACGAP1	NUF2	0.783
AURKA	DEPDC1	0.782
ALB	CXCL8	0.782
CCL19	CCL4	0.782
GFAP	IL6	0.782
ITGAM	FCER1G	0.782
FN1	FOS	0.782
NR4A2	NR4A1	0.782
PHGDH	MYC	0.782
TNNC2	TPM4	0.782
CDKN1B	CDKN3	0.781
BIRC5	ANLN	0.781
CDT1	BIRC5	0.781
CDCA3	CENPF	0.781
CKAP2	CCNA2	0.781
DNAJC12	DNAJB1	0.781
DNAJA1	HSPE1	0.781
IL6	KIT	0.781
H2AC20	H2AZ1	0.781
GAPDH	JUN	0.781
C1QBP	CD209	0.779
ACE2	CD209	0.779
FBXO5	HEMK1	0.779
EEF2	EIF3I	0.779
MYL4	MYL12B	0.779
UBE2T	UBB	0.779
CDCA8	ATP5MF	0.778
CDCA2	CCNA2	0.778
EGR1	IL6	0.778
KIF23	KPNA2	0.778
IGF1	FCGR2A	0.778
TUBA1C	TUBA4A	0.778
SLC7A5	SLC38A2	0.778
CD48	CD86	0.777
KIF4A	ESPL1	0.777
GNB5	FAU	0.777
EXO1	HELLS	0.777
RACK1	JUN	0.777
NDC80	NCAPH	0.777
SOD2	VDAC1	0.777
CENPF	CDC45	0.776
CDKN1A	CKS2	0.776
FN1	KIT	0.776
GYPA	HBE1	0.776
FCGR1A	IL3RA	0.776
KIF4A	KIFC1	0.776
TRPM4	SCNN1A	0.776
JUN	H4C6	0.775
PSMC3	PSME2	0.775
PBK	RACGAP1	0.775
RUNX2	SOST	0.775
S100A8	S100A7	0.775
SMOX	SRM	0.775
BIRC5	CKS2	0.774
ACTG1	ALDOA	0.774
HEY1	ID1	0.774
MAP1A	NBR1	0.774
CTSH	CTSL	0.773
BATF3	CREB5	0.773
ATP5IF1	ATP5MF	0.772
CDCA8	DEPDC1	0.772
KLF6	DUSP1	0.772
EXO1	KIF11	0.772
PSMA4	NFKBIA	0.772
MT2A	MT1F	0.772
NIP7	REXO4	0.772
PDGFB	NTRK1	0.772
MMP9	PLAUR	0.772
RRP12	TWISTNB	0.772
RPL22L1	RPF1	0.772
ATF5	DDIT3	0.771
HSPA1A	FKBP4	0.771
HSP90AA1	ENO1	0.771
ODC1	MYC	0.771
CEBPB	ASNS	0.769
KIF23	ESPL1	0.769
OPRD1	NPFFR1	0.769
KIF18A	KIF18B	0.768
HLA-DRA	LCK	0.768
MND1	MCM10	0.768
ATP5MC3	ATP5IF1	0.767
ACTB	ANXA2	0.767
ICAM1	ENG	0.767
ICAM1	IL15	0.767
APP	APOC3	0.766
ARHGAP11A	BUB1	0.766
ATF3	ACTB	0.766
KIF2C	PCLAF	0.766
PRDX1	MYC	0.766
TWISTNB	RPF1	0.766
RRP9	WDR18	0.766
SLC38A5	SCN11A	0.766
CCR3	CLC	0.765
ACTB	ACE	0.765
BUB3	CENPF	0.765
CDCA3	CDC45	0.765
EIF6	EEF2	0.765
MYH7B	MYL4	0.765
SLC38A2	SCN11A	0.765
SUCLG1	TUFM	0.765
KIF2C	EXO1	0.764
KIF2C	KIF20B	0.764
SERPINE1	TNF	0.764
VIM	S100A4	0.764
RSL1D1	RPS5	0.764
CDCA2	CCNB1	0.763
CDCA8	BUB3	0.763
LAPTM5	EVI2B	0.763
HJURP	PCLAF	0.763
PSAT1	MTHFD2	0.763
SCN9A	TRPM4	0.763
CD81	CD209	0.762
CENPE	ANLN	0.762
CNTLN	CEP55	0.762
ACE2	AAK1	0.762
CCR3	CCL4L2	0.762
GLIPR2	GLIPR1	0.762
GCSH	GART	0.762
KIF14	KIF18B	0.762
MAP1B	NBR1	0.762
PBK	MKI67	0.762
THBS1	TIMP1	0.762
RPL22L1	RSL1D1	0.762
CDC20	DEPDC1	0.761
ACAN	CD44	0.761
EGR2	EGR4	0.761
KIF14	ECT2	0.761
NUP37	MAD2L1	0.761
CENPU	CDCA8	0.759
RRM2	CDCA3	0.759
GFAP	FGF2	0.759
EIF2S1	HSP90B1	0.759
HNRNPD	FOS	0.759
MKI67	NUF2	0.759
CENPU	BUB1	0.758
ID2	EGR2	0.758
NUF2	NCAPH	0.758
MRPL21	NDUFS3	0.758
S100A10	S100A4	0.758
CCNE1	CCNB2	0.757
ALAS2	BLVRB	0.757
CD81	CD44	0.757
EEF2	EIF1	0.757
CD69	CXCL8	0.756
APP	APOL1	0.756
CCL19	CCL5	0.756
CDCA2	AURKB	0.756
DDX21	ACTB	0.756
DLGAP5	DTL	0.756
PBK	PLK1	0.756
MAP1A	OPTN	0.756
CENPU	AURKB	0.755
ATP5ME	COX4I2	0.755
CD209	CD86	0.755
EIF2S1	HSP90AA1	0.755
H2AW	H3C12	0.755
LCK	IL2RG	0.755
PEBP1	MRPL47	0.755
AIF1	ACTB	0.754
EXO1	ESPL1	0.754
PCLAF	HMMR	0.754
ISG15	GBP1	0.754
KIF2C	GTSE1	0.754
SPI1	TNF	0.754
TOMM40	TUFM	0.754
COL9A2	COLGALT2	0.753
KIF18A	ESPL1	0.753
KIF20A	GTSE1	0.753
PTGIR	PTGS1	0.753
MYB	PAX5	0.753
UBC	UBASH3A	0.753
CKAP2L	CDC45	0.752
ATL1	ARL6IP1	0.752
CD53	CD52	0.752
HSD17B10	EEF2	0.752
FGF2	ICAM1	0.752
IL22RA2	IL6	0.752
EGR3	JUNB	0.752
HSPA6	DNAJB11	0.752
ITGAM	IL3RA	0.752
HSP90AB1	JUN	0.752
TPI1	TYMS	0.752
TNNI1	TPM4	0.752
CD44	CXCL8	0.751
CD47	ANK2	0.751
CCL25	CCL4	0.751
H1-5	H2AC8	0.751
ISG15	IL6	0.751
PLK1	NCAPH	0.751
IER2	DUSP1	0.749
GFAP	GAPDH	0.749
HAVCR2	IL6	0.749
KIF14	KIF20B	0.749
MSN	PLEK	0.749
BCL2L11	CDKN1B	0.748
RRM2	AK8	0.748
CXCL10	CD86	0.748
CCL3	CD86	0.748
CDKN1C	CDKN3	0.748
LGALS1	EMP3	0.748
GAPDH	ISG15	0.748
RNASEH2A	RFC3	0.748
RRP12	SURF6	0.748
CENPU	CCNB1	0.747
ANLN	CCNA2	0.747
CD44	CD63	0.747
GYPB	HEMGN	0.747
HBD	KLF1	0.747
DNAJC2	HSPA5	0.747
HSP90AB1	H3C12	0.747
MCM5	PLK1	0.747
UPP1	TYMS	0.747
CCL2	APOE	0.746
CCNB1	CCNE1	0.746
BIRC5	BIRC3	0.746
ASPM	CDCA5	0.746
ALB	CD209	0.746
CD9	CD37	0.746
ACTB	CDH5	0.746
HELLS	KIF11	0.746
GAPDH	FGF2	0.746
KRT8	KRT7	0.746
IL6	H3C12	0.746
HJURP	EXO1	0.746
PSMC2	PSME2	0.746
PNO1	NIFK	0.746
PKDCC	POMK	0.746
RAN	PSMD14	0.746
TRAF1	TNFRSF4	0.746
AQP3	AQP1	0.745
ARHGAP11A	CDK1	0.745
ASPM	CKS2	0.745
IL6	DUSP1	0.745
HSP90AB1	GRPEL1	0.745
HSP90AA1	GRPEL1	0.745
PLA2G2D	LPCAT2	0.745
POMP	PSMD4	0.745
RRP12	RRP15	0.745
H2BC11	H2BC9	0.744
NTRK1	PDGFA	0.744
RRP9	RRP15	0.744
SLC7A5	TRIB3	0.744
ALB	CAV1	0.743
CCNF	CDCA3	0.743
DNAJA1	HSPD1	0.743
JUN	E2F1	0.743
IL24	IL6R	0.743
KIF20B	KIFC1	0.743
PYY	NTS	0.743
MYC	MAP2K3	0.743
HLA-DRA	LCP2	0.742
NUSAP1	NCAPH	0.742
NDUFAF2	NDUFS5	0.742
SOX2	SNAI1	0.742
AURKA	ANLN	0.741
GINS2	FEN1	0.741
EXOG	FEN1	0.741
IL24	IL23R	0.741
KRT8	HSPA5	0.741
CCL2	ALB	0.739
CCNA1	CCNB2	0.739
CDC25C	CDCA5	0.739
ALB	CD63	0.739
ALB	CD44	0.739
AVP	ALDH1A1	0.739
CNDP1	ASS1	0.739
GAP43	FN1	0.739
SLC7A5	SLC7A11	0.739
CDC25C	CCNE1	0.738
CRYAB	CRYBA2	0.738
ABCG2	ALDH1A1	0.738
AURKB	CKS2	0.738
H2BC21	EGR2	0.738
KIF18A	ECT2	0.738
HSP90AA1	IL6	0.738
MRTO4	PNO1	0.738
PA2G4	MRPL36	0.738
MDH2	PGK1	0.738
POLE3	RFC3	0.738
CCL2	C3	0.737
CCL2	CD86	0.737
CKAP2L	CENPF	0.737
CKAP2L	AURKB	0.737
CD63	CD86	0.737
ATF3	CDKN1A	0.737
ANXA1	CD9	0.737
CD59	CD44	0.737
FLT1	ENG	0.737
ETS1	FOS	0.737
PSME1	PSMD13	0.737
CCNA1	BUB3	0.736
CENPU	CENPF	0.736
ALB	CD86	0.736
CEBPB	ATF5	0.736
CD47	CD9	0.736
CDCA8	CKAP2	0.736
CD44	ABCG2	0.736
DLGAP5	GTSE1	0.736
GFAP	FABP7	0.736
HSPD1	DNAJB1	0.736
HSPA5	IL6	0.736
ITGAM	ELANE	0.736
CD48	CD3D	0.735
COL2A1	COL9A2	0.735
CDKN1A	CDKN1C	0.735
KRT7	EPCAM	0.735
HLA-B	GBP1	0.735
HSP90AB1	IL6	0.735
PSMG1	MRPL21	0.735
AREG	ANGPTL4	0.734
ITGAM	EPCAM	0.734
GATA2	HDC	0.734
ODC1	MYCN	0.734
MAD2L1	NCAPH	0.734
PSME1	PSMD11	0.734
PBK	MCM10	0.734
S100A1	S100A3	0.734
CCNA1	CDKN3	0.733
CCNF	CDCA8	0.733
KIF18A	HJURP	0.733
KLRC1	IL15	0.733
FLNA	ITGA2	0.733
HSP90B1	HSPA1A	0.733
ITGA3	FLNA	0.733
GPX3	IL6	0.733
TUFM	SSBP1	0.733
C3	APOE	0.732
CD68	CXCL10	0.732
GAPDH	EEF1A2	0.731
HSP90AA1	H4C6	0.731
IL15	HCST	0.731
IL11	IL2RG	0.731
FEN1	DTL	0.731
KIFC1	KPNA2	0.731
MRPL12	PPA1	0.731
POMP	PSMC2	0.731
SNRPD3	TEP1	0.731
TSFM	RPL3L	0.731
ATAD2	CENPE	0.729
ARHGAP11A	CENPE	0.729
CKAP2L	CCNB2	0.729
AIF1	ALB	0.729
ACTB	CXCL8	0.729
GATA2	ETS1	0.729
H2BC21	KMT2A	0.729
EIF6	EIF2S2	0.729
PRDX1	PEBP1	0.729
RACGAP1	MKI67	0.729
RANBP1	PPIAL4G	0.729
UBE2L3	UBB	0.729
ACTB	CD44	0.728
ELANE	H3C12	0.728
KIF4A	DTL	0.728
RNASEH2A	RFC4	0.728
NASP	NPM1	0.728
NUP37	MAGOHB	0.728
SCIN	VDAC1	0.728
SOD2	TXN	0.728
CD68	ALB	0.727
CKAP2L	CCNA2	0.727
CCL4	CD86	0.727
ARHGAP11A	CEP55	0.727
KIF20A	KNSTRN	0.727
KIF14	KIF5B	0.727
HLA-C	ERAP2	0.727
TIMP1	TNF	0.727
CCNF	BUB1B	0.726
BCL2L11	CDKN1A	0.726
FOS	IRF1	0.726
DLGAP5	PIMREG	0.726
IL11	FLT3LG	0.726
FCGR1A	KIT	0.726
HSPA5	ENO1	0.726
GATA2	KMT2A	0.726
HP	IL6	0.726
KRT18	GAPDH	0.726
PYY	NMU	0.726
PLK4	MCM10	0.726
PA2G4	PWP1	0.726
MRPL22	PDCD5	0.726
CST7	CTSC	0.725
CD81	CD37	0.725
APP	CAV1	0.725
CDKN3	CKS2	0.725
CENPF	CDKN3	0.725
ATP5F1C	AK2	0.725
HAVCR2	LCP2	0.725
HSPE1	HSPA5	0.725
IL23R	IL11	0.725
IFITM1	ISG20	0.725
FUT2	HBG1	0.725
TFRC	TNF	0.725
RRP12	WDR18	0.725
COL18A1	COL1A1	0.724
DEPDC1	CCNB2	0.724
AURKB	CDKN3	0.724
LCK	KIT	0.724
ENO1	HK2	0.724
HMGB1	HSPA8	0.724
PRC1	NCAPH	0.724
CCL25	CCL3	0.723
GFAP	GAD1	0.723
FCGR1A	IL6	0.723
MRTO4	PDCD5	0.723
MYH7B	MYL12B	0.723
RPL3L	WDR18	0.723
TSFM	RPS5	0.723
CCT7	ACTB	0.722
CDT1	CLSPN	0.722
ARHGAP11B	ASPM	0.722
GAPDH	FOS	0.722
MTHFD2	PHGDH	0.722
BIRC5	CKAP2	0.721
CCR9	CXCR4	0.721
RACGAP1	NEK2	0.721
POLE3	MCM10	0.721
RRP9	RRP1B	0.721
STMN1	TYMS	0.721
FLT1	FLT3LG	0.719
GAPDH	HSPA1B	0.719
SLPI	TUBB1	0.719
SYN2	TIMP4	0.719
CCL2	CCL3L1	0.718
COL18A1	COL6A2	0.718
CD59	CD9	0.718
HP	HBQ1	0.718
FBXO5	DLGAP5	0.718
PA2G4	MRPL22	0.718
PHGDH	PKM	0.718
POLE3	RFC4	0.718
TFPI	SERPINE1	0.718
CKS1B	BUB1	0.717
CCL18	CXCL10	0.717
CXCL10	CCR4	0.717
HBZ	HBA1	0.717
KRT7	KIT	0.717
KIF4A	KIF20B	0.717
KIF20B	KIF20A	0.717
KIF2C	ECT2	0.717
HMGA2	LIN28A	0.717
PTTG1	NCAPH	0.717
PRDX1	PARK7	0.717
PSAPL1	MANF	0.717
WDR43	RRP15	0.717
CD52	CD3D	0.716
GAP43	GFAP	0.716
GAPDH	FASN	0.716
SELPLG	TNF	0.716
UNG	TYMS	0.716
S100A10	S100A11	0.716
CDC25B	CDC45	0.715
ATAD2	CEP55	0.715
CCL5	CD86	0.715
CXCR4	CAV1	0.715
ARHGAP11A	CCNA2	0.715
HCLS1	LCP2	0.715
LILRA1	FCER1G	0.715
GFAP	ITGAM	0.715
PEBP1	PRDX2	0.715
UBC	UBASH3B	0.715
HSP90AA1	HIF3A	0.714
KIF14	EXO1	0.714
GAPDH	ITGAM	0.714
NGFR	PDGFA	0.714
RRP9	WDR74	0.714
CD74	CCL5	0.713
CDCA2	CDC25C	0.713
RRM2	CDKN3	0.713
CLIC1	ANXA2	0.713
IRF1	IFITM3	0.713
DYNLL1	KNSTRN	0.713
